рік;Щільність населення, осіб на 1 кв.км;регіон;зміна, осіб на 1 кв.км;зміна, %
1997;41.7;Чернігівська область;-0.6;-1.42
1998;41.2;Чернігівська область;-0.5;-1.2
1999;40.7;Чернігівська область;-0.5;-1.21
2000;40.1;Чернігівська область;-0.6;-1.47
2001;39.6;Чернігівська область;-0.5;-1.25
2002;39;Чернігівська область;-0.6;-1.52
2003;38.4;Чернігівська область;-0.6;-1.54
2004;37.8;Чернігівська область;-0.6;-1.56
2005;37.2;Чернігівська область;-0.6;-1.59
2006;36.6;Чернігівська область;-0.6;-1.61
2007;36.1;Чернігівська область;-0.5;-1.37
2008;35.6;Чернігівська область;-0.5;-1.39
2009;35.2;Чернігівська область;-0.4;-1.12
2010;34.8;Чернігівська область;-0.4;-1.14
2011;34.4;Чернігівська область;-0.4;-1.15
2012;34.1;Чернігівська область;-0.3;-0.87
2013;33.8;Чернігівська область;-0.3;-0.88
2014;33.4;Чернігівська область;-0.4;-1.18
2015;;Чернігівська область;;
2016;;Чернігівська область;;
2017;;Чернігівська область;;
2018;;Чернігівська область;;
2019;;Чернігівська область;;
2020;;Чернігівська область;;
2021;;Чернігівська область;;
1989;3253.5;м. Київ;;
1990;3280.5;м. Київ;27;0.83
1991;3304.3;м. Київ;23.8;0.73
1992;3314.1;м. Київ;9.8;0.3
1993;3318.3;м. Київ;4.2;0.13
1994;3316.9;м. Київ;-1.4;-0.04
1995;3304.8;м. Київ;-12.1;-0.36
1996;3297.4;м. Київ;-7.4;-0.22
1997;3287;м. Київ;-10.4;-0.32
1998;3281.6;м. Київ;-5.4;-0.16
1999;3272.9;м. Київ;-8.7;-0.27
2000;3269.1;м. Київ;-3.8;-0.12
2001;3266.4;м. Київ;-2.7;-0.08
2002;3264.3;м. Київ;-2.1;-0.06
2003;3277.1;м. Київ;12.8;0.39
2004;3298.8;м. Київ;21.7;0.66
2005;3333;м. Київ;34.2;1.04
2006;3366.5;м. Київ;33.5;1.01
2007;3397.6;м. Київ;31.1;0.92
2008;3425.3;м. Київ;27.7;0.82
2009;3456.9;м. Київ;31.6;0.92
2010;3333.2;м. Київ;-123.7;-3.58
2011;3350;м. Київ;16.8;0.5
2012;3368;м. Київ;18;0.54
2013;3404.8;м. Київ;36.8;1.09
2014;3433.2;м. Київ;28.4;0.83
2015;;м. Київ;;
2016;;м. Київ;;
2017;;м. Київ;;
2018;;м. Київ;;
2019;;м. Київ;;
2020;;м. Київ;;
2021;;м. Київ;;
1989;438.9;м. Севастополь (міськрада);;
1990;442.3;м. Севастополь (міськрада);;0
1991;448.1;м. Севастополь (міськрада);;0
1992;457.2;м. Севастополь (міськрада);;0
1993;462.3;м. Севастополь (міськрада);;0
1994;462.4;м. Севастополь (міськрада);;0
1995;457.1;м. Севастополь (міськрада);;0
1996;452.1;м. Севастополь (міськрада);;0
1997;446.1;м. Севастополь (міськрада);;0
1998;440.7;м. Севастополь (міськрада);;0
1999;434.9;м. Севастополь (міськрада);;0
2000;430.2;м. Севастополь (міськрада);;0
2001;425.6;м. Севастополь (міськрада);;0
2002;421.7;м. Севастополь (міськрада);;0
2003;420.6;м. Севастополь (міськрада);;0
2004;420.4;м. Севастополь (міськрада);;0
2005;420.7;м. Севастополь (міськрада);;0
2006;421.2;м. Севастополь (міськрада);;0
2007;421.3;м. Севастополь (міськрада);;0
2008;421.7;м. Севастополь (міськрада);;0
2009;422.3;м. Севастополь (міськрада);;0
2010;440.5;м. Севастополь (міськрада);;0
2011;441;м. Севастополь (міськрада);;0
2012;441.4;м. Севастополь (міськрада);;0
2013;444;м. Севастополь (міськрада);;0
2014;446.8;м. Севастополь (міськрада);;0
2015;;м. Севастополь (міськрада);;0
2016;;м. Севастополь (міськрада);;
2017;;м. Севастополь (міськрада);;
2018;;м. Севастополь (міськрада);;
2019;;м. Севастополь (міськрада);;
2020;;м. Севастополь (міськрада);;
2021;;м. Севастополь (міськрада);;
